arch,version,run,source,start,end,ann_return,ann_vol,sharpe,sortino,cagr,calmar,mdd,mdd_duration,ulcer,hit_rate,var95,es95,var99,es99,tracking_error,corr,mae,rmse,r2,info_ratio
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,0,126,0.10629708318915121,0.20922834202570087,0.5080434235630183,0.8819298476811538,0.06298570146103288,1.6357611971522674,-0.03850543806191642,84,0.021553177932976824,0.48412698412698413,-0.01976715161141606,-0.024537701085933894,-0.025288305622249402,-0.028064872688900455,0.2583752264316244,-0.03711229234192962,0.01245733799357512,0.01621291105098216,-0.5252535543917269,-0.21638652274444872
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,21,147,0.026634480289786877,0.21615561537277053,0.12321900702812862,0.21681569113236943,0.013457658766486968,0.2670627485536525,-0.05039137371037483,40,0.022624651307125612,0.47619047619047616,-0.021104515688875634,-0.025475964976449945,-0.026348987698133902,-0.028751631026577462,0.25613990469898357,0.029873587910517287,0.012604954752730322,0.016080142812752673,-0.40574915586240734,-0.5292869920816796
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,42,168,0.034064538966708025,0.20648578799961487,0.164972801744455,0.2881669267556766,0.07846165993854859,1.5570454655494768,-0.050391373710375054,61,0.02453496084226277,0.47619047619047616,-0.018593851077060266,-0.02436049557989103,-0.026348987698133902,-0.028751631026577462,0.26584671723404035,-0.12262254124837974,0.013548473287266006,0.016687930266120615,-0.6591501653926366,-0.4820125761435736
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,63,189,0.06407124045773793,0.2047756343868747,0.31288507858650116,0.5338075077460734,0.028239410475131344,0.5604016798080962,-0.05039137371037439,62,0.02627557413460466,0.5158730158730159,-0.019636750258346762,-0.02432510401555978,-0.026584236462211697,-0.029552530110434627,0.2503946869043222,-0.0003380732764501426,0.012332833256259458,0.01571549079399511,-0.4960992662573489,-0.39192029493724917
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,84,210,-0.009632743817667322,0.2179016552385527,-0.044206840958237154,-0.07231248952140466,-0.005360165985053844,-0.09130033884978767,-0.05870915762834883,62,0.030306795132792476,0.5158730158730159,-0.020161753963792106,-0.027509392717564602,-0.03098261173216573,-0.03619370846066444,0.2755439749559092,-0.12265467658276678,0.01399682546761401,0.01730206470849209,-0.6015329495909238,-0.623634553595896
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,105,231,-0.025335949222214715,0.21040545789122983,-0.12041488598319663,-0.1857043309815241,-0.023393536072550014,-0.39846485654997416,-0.05870915762834927,62,0.03343689147654089,0.5238095238095238,-0.021892846772179526,-0.02782847580540924,-0.03098261173216573,-0.03619370846066444,0.25375812447930113,0.010258637721951376,0.012487535511155395,0.01593908295214719,-0.4577187240749221,-0.7390579103902242
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,126,252,0.05994482535361256,0.2166295960853159,0.276715769391013,0.4551302286377034,0.010848813637560628,0.18478912108120715,-0.05870915762834883,82,0.033647409553147496,0.5238095238095238,-0.020823815296295258,-0.027300419577479893,-0.03098261173216573,-0.03619370846066444,0.25688676826635526,0.02695529112938449,0.012693886877998984,0.016123109280259045,-0.4070939254261776,-0.39807879298928006
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,147,273,0.05566786203730256,0.21531296241937004,0.25854394185927826,0.4210281105527546,0.03263697162890655,0.5559093836009514,-0.05870915762834894,103,0.03683600623306637,0.5158730158730159,-0.020823815296295258,-0.02737351403142268,-0.031110527026565603,-0.03619370846066444,0.25137227924426747,0.06314038420300813,0.012819157969381401,0.015777668025609065,-0.3639748047392726,-0.42382612069635034
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,168,294,-0.022100488434329435,0.22492919694624555,-0.09825531204653301,-0.15656129613296768,-0.055299795188586964,-0.9419279278141779,-0.05870915762834927,124,0.03918244398312623,0.5158730158730159,-0.02240342730227715,-0.02881521918250001,-0.03196746673258796,-0.03619370846066444,0.25860226970245187,0.06887340860311418,0.012713684251924179,0.01624211359470413,-0.3245077218422714,-0.7127025166731629
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,189,315,0.044693534000742385,0.21665763308211994,0.20628645003152118,0.33789342330993655,0.05952068626458029,1.3238784636657188,-0.0449593281393611,81,0.024640587831040364,0.5,-0.02203412431726797,-0.02710461363817645,-0.029774847162638948,-0.03530325521804667,0.2705920473648053,-0.0886879246323324,0.013370024111542204,0.016984323172327096,-0.5610239777497461,-0.4342790822704054
